,,,,,,,,Q8,Q11,Q13,Q14,Q15,Q17,Q18,Q20,Q21,Q22,Q23,Q24,Q26,Q27,Q28,Q29,Q30,Q32,Q33,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,,Random ID
2a,100,396,TRUE,1/14/21 15:32,R_5bvRRrVC3T418Gd,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,octahedron,sphere,dumbbell,cone,pyramid,trig prism,pentagon,cone,torus,c),b),a),a),the rounded nature of the sphere will be more interesting,I want to see how the block falls into the bowl shape and if it stays,,77505
2a,100,190,TRUE,1/14/21 15:44,R_3gSOsx16UAXciNw,4,,dumbbell,b),pyramid,cone,dumbbell,pyramid,sphere,bowl,sphere,dumbbell,torus,dumbbell,octahedron,octahedron,sphere,dumbbell,cone,pyramid,sphere,pyramid,cone,trig prism,c),b),a),a),I want to see movement.,I want to see the ball move around,,35011
2a,100,1323,TRUE,1/14/21 15:45,R_SHrcMRbvukO2uml,3,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,octahedron,sphere,dumbbell,pentagon,pipe,sphere,pentagon,pipe,torus,c),b),b),a),Forms are very different. I want to see the result of their collision,Forms are somewhat complimentary. Their combination is a bit more interesting for me,,54943
2a,100,189,TRUE,1/14/21 15:48,R_2aTRnmTdLbek0OR,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,sphere,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),I want to see the reaction,Want to see if it would land in the center,,8491
2a,100,413,TRUE,1/14/21 15:49,R_d9Y6LCbKXbXnjQR,3,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,sphere,bowl,torus,torus,octahedron,octahedron,sphere,dumbbell,pentagon,pyramid,sphere,pyramid,pipe,torus,a),b),a),a),I thought it might bounce off the ball and make the ball move,I wanted to see if the hexagon would bounce off the ball or make the ball move,,78660
2a,100,218,TRUE,1/14/21 16:19,R_2XbM4GggAxNFYWv,1,Y,dumbbell,b),pipe,octahedron,cone,trig prism,sphere,pentagon,sphere,dumbbell,octahedron,torus,octahedron,octahedron,sphere,torus,pentagon,pipe,sphere,pyramid,pipe,torus,b),b),c),b),perfect decision this is correct.,I think the perfect decision.,,45956
2a,100,240,TRUE,1/14/21 16:20,R_2VmTdlGeOWztWcF,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,octahedron,sphere,dumbbell,cone,pyramid,sphere,pyramid,pipe,trig prism,c),b),a),a),I thought it would be the most interesting crash,I thought it might drop into the bowl,,99092
2a,100,255,TRUE,1/14/21 16:24,R_2wuDatxQI8QZur6,3,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,dumbbell,torus,torus,octahedron,pentagon,sphere,torus,pentagon,pyramid,trig prism,pyramid,pipe,torus,c),b),b),a),the sharp pointy part would make the item fall across,I wanted to see if the item would get stuck in the other item.,,73738
2a,100,141,TRUE,1/14/21 16:26,R_Wkwfs18ULA2MeT7,3,,dumbbell,b),pyramid,cone,dumbbell,pyramid,sphere,bowl,sphere,dumbbell,torus,torus,octahedron,octahedron,sphere,dumbbell,cone,pyramid,sphere,pyramid,pipe,torus,c),b),b),a),It seemed more interesting.,It seemed more interesting.,,67879
2a,100,1054,TRUE,1/14/21 16:34,R_28XPe2qtp182P8g,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,octahedron,sphere,torus,pentagon,pipe,sphere,pentagon,pipe,torus,c),b),a),a),I thought it would look the most interesting.,I want to try and make a basket.,,84723
2a,100,475,TRUE,1/14/21 16:41,R_27xuVvoIIT4MW3g,2,Y,dumbbell,b),pipe,cone,dumbbell,pyramid,pipe,bowl,sphere,dumbbell,torus,torus,octahedron,pentagon,sphere,dumbbell,cone,pipe,sphere,pyramid,pipe,torus,b),b),c),a),drop easily,drop easily,,63312
2a,100,189,TRUE,1/14/21 17:41,R_2zeBgdmc1D5ab6L,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,octahedron,sphere,dumbbell,pentagon,pipe,sphere,pentagon,pipe,trig prism,c),b),a),a),i liked how the shapes are similar,i wanted to make it drop in the cavity of the toy.,,65550
2a,100,350,TRUE,1/14/21 18:51,R_3NQCqqAXj6jbeAN,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,octahedron,sphere,dumbbell,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),I believe this drop will cause more overall movement.,I think the bowl can somewhat catch this drop.,,62492
2a,50,179,FALSE,1/14/21 19:01,R_2AKHu0QinzLVxGo,1,Y,dumbbell,b),,,,pyramid,pipe,bowl,,,,,,octahedron,sphere,,,,sphere,,,,c),,,,It would cause the most motion.,,,24689
2a,79,63,FALSE,1/14/21 19:01,R_d6GxbnSitrHohdT,2,Y,pentagon,b),pyramid,,,pyramid,sphere,bowl,sphere,bowl,octahedron,,octahedron,pentagon,sphere,,cone,pipe,sphere,,cone,torus,c),b),,,a,a,,8495
2a,45,208,FALSE,1/14/21 19:01,R_24pXxe2ur7Rsi8P,,Y,dumbbell,b),,,,pyramid,,bowl,,,,,,pentagon,sphere,,,,trig prism,,,,,,,,The cone is round and the ball is round. Maybe the cone will drop over the ball.,,,49421
2a,32,2352,FALSE,1/14/21 19:02,R_2taQDHAWSchRHHs,,Y,dumbbell,b),,,,,,,,,,,,,sphere,,,,,,,,,,,,,,,12297
2a,76,235,FALSE,1/14/21 19:02,R_1CE2dpsWEYxGVAp,1,Y,dumbbell,b),pyramid,,,pyramid,sphere,bowl,bowl,dumbbell,torus,,octahedron,octahedron,sphere,,pentagon,pipe,trig prism,,cone,torus,b),b),,,It is the best choice for me,,,49976
2a,3,3,FALSE,1/14/21 19:02,R_DHuwtb13VdqrIbL,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60701
2a,32,46,FALSE,1/14/21 19:02,R_plxTFSAiqd6d1U5,,Y,pentagon,b),,,,,,,,,,,,,trig prism,,,,,,,,,,,,,,,77901
2b,100,176,TRUE,1/14/21 8:42,R_3Ny6R1V5kvI24Av,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,dumbbell,octahedron,pentagon,trig prism,torus,pentagon,pipe,trig prism,pyramid,pipe,torus,c),b),a),a),The points might bounce off each other,It might stack.,,17291
2b,100,203,TRUE,1/14/21 8:42,R_2D6tRQg6knVdfbq,1,Y,dumbbell,b),pipe,cone,cone,trig prism,pipe,bowl,bowl,dumbbell,octahedron,dumbbell,octahedron,pentagon,trig prism,dumbbell,pentagon,pipe,trig prism,pentagon,pipe,torus,c),a),c),b),1,good,,36368
2b,100,354,TRUE,1/14/21 8:47,R_6LifDxXFr5oS1gt,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),So it might land on top of it.,No good reason. It did not really go with either toy.,,54604
2b,100,174,TRUE,1/14/21 8:48,R_1eRIVrF3RLAbQg9,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,sphere,torus,pentagon,pyramid,sphere,pentagon,pipe,torus,c),b),a),a),Honestly I just randomly chose one between these two choices as I did not care for either.,I thought it would have a cooler impact,,22182
2b,100,299,TRUE,1/14/21 8:51,R_20S7OiLnwAnOZvH,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,sphere,bowl,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,sphere,pentagon,pipe,torus,c),b),a),a),I wanted to see it bounce from something bigger ( with more mass ),I wanted to see if it will stay inside the bowl after the drop,,60020
2b,100,261,TRUE,1/14/21 8:54,R_2E4APnzFPd9yF5R,1,Y,dumbbell,b),pyramid,cone,cone,trig prism,pipe,bowl,sphere,dumbbell,torus,torus,bowl,octahedron,sphere,dumbbell,pentagon,pyramid,trig prism,pentagon,pipe,trig prism,a),b),b),b),LIKE,LIKE,,52631
2b,100,173,TRUE,1/14/21 9:00,R_yz2T2xKWVYhqpgJ,4,,dumbbell,b),pipe,octahedron,cone,pyramid,pipe,bowl,bowl,bowl,torus,dumbbell,bowl,pentagon,sphere,dumbbell,pentagon,pipe,sphere,pentagon,pipe,torus,c),b),a),a),I thought it would be an interesting collision,I wanted to see if it would stay in the bowl,,28004
2b,100,256,TRUE,1/14/21 9:01,R_3D0aRapdCccj9sn,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,pentagon,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),"It had an upright flat surface, I thought it might stay on it by chance.",I thought the cup might catch the other dropped object.,,67308
2b,100,192,TRUE,1/14/21 9:05,R_3eeHGxKRiI6lzUt,4,,dumbbell,b),pipe,octahedron,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,octahedron,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),It looks more interesting.,I want to see if it stays landing on the toy and doesn't hit the ground.,,40143
2b,100,148,TRUE,1/14/21 9:12,R_3EFnfQBFT5oPWht,4,,pentagon,b),pyramid,cone,dumbbell,pyramid,sphere,bowl,sphere,bowl,octahedron,torus,octahedron,pentagon,sphere,torus,cone,pipe,sphere,pentagon,cone,torus,c),b),a),a),I just absoluteloy ADORe the number 2. 2 is bigger than 1!,"I just love watching toys drop,  I guess.  I needa come up with a hoke for this.",,34514
2b,100,254,TRUE,1/14/21 9:13,R_3PL9QIRy6PCSa5q,2,Y,pentagon,b),pipe,octahedron,dumbbell,pyramid,sphere,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,sphere,pyramid,pipe,trig prism,a),c),a),a),I made it at random,Because I wanted that toy to drop on toy number 2.,,70803
2b,100,201,TRUE,1/14/21 9:21,R_1fk1croBUuD7PrY,3,,pentagon,b),pipe,cone,dumbbell,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),c),a),Bigger target,bigger target,,38748
2b,100,633,TRUE,1/14/21 9:25,R_2UhdNxbUqKci0Ve,2,Y,dumbbell,b),pipe,cone,dumbbell,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),a),a),b),Because it should land flat on it.,I think it would land on it and stay.,,35590
2b,100,309,TRUE,1/14/21 9:26,R_1NsQiQcXBdisn4M,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),it placed well in bottom,it is comfortable,,50470
2b,100,485,TRUE,1/14/21 9:27,R_11ZaXtPppk6Uaxw,3,,dumbbell,b),pyramid,cone,dumbbell,pyramid,pipe,pentagon,sphere,bowl,octahedron,torus,bowl,pentagon,sphere,torus,cone,pyramid,sphere,pentagon,cone,torus,c),b),b),a),block drop,thambils,,59889
2b,100,1686,TRUE,1/14/21 9:41,R_3qQ1K2lBvabSl7N,4,,pentagon,b),pipe,cone,dumbbell,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,pentagon,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),it seemed like an interesting choice to try out.,"The toys seem more compatible, I want to know the outcome.",,73748
2b,100,233,TRUE,1/14/21 9:42,R_1jpkN8kTebWXpvP,4,,dumbbell,b),pyramid,octahedron,dumbbell,pyramid,sphere,bowl,sphere,dumbbell,octahedron,dumbbell,octahedron,octahedron,sphere,dumbbell,cone,pyramid,sphere,pyramid,cone,torus,c),b),a),a),i like the design better and i am obligate to choose one,the first options ismy first option since the beggining,,74579
2b,100,263,TRUE,1/14/21 9:42,R_VOkzkygk4548g3n,0,Y,pentagon,b),pipe,cone,dumbbell,trig prism,pipe,pentagon,sphere,dumbbell,octahedron,torus,bowl,octahedron,sphere,torus,cone,pipe,trig prism,pentagon,cone,trig prism,b),c),b),c),Interesting,Interesting,,45542
2b,100,384,TRUE,1/14/21 9:44,R_2CvMTFzCKrwRpIm,0,Y,dumbbell,b),pipe,cone,dumbbell,pyramid,pipe,bowl,sphere,bowl,torus,dumbbell,octahedron,octahedron,trig prism,dumbbell,pentagon,pyramid,trig prism,pyramid,pipe,torus,b),a),b),b),structure is good,it is a good,,65633
2b,100,231,TRUE,1/14/21 9:52,R_22Vb159s7s1TP7W,2,Y,dumbbell,b),pipe,cone,cone,pyramid,sphere,bowl,sphere,bowl,octahedron,dumbbell,bowl,octahedron,trig prism,dumbbell,cone,pipe,sphere,pentagon,pipe,trig prism,c),b),b),c),It was so easy.,It was easy to drop,,38725
2b,100,877,TRUE,1/14/21 10:03,R_3fPOjgHYgSRRIeq,0,Y,dumbbell,b),pyramid,octahedron,cone,trig prism,pipe,bowl,sphere,bowl,torus,torus,bowl,octahedron,trig prism,dumbbell,pentagon,pipe,sphere,pentagon,pipe,trig prism,b),c),b),c),I think the very good decision.,this perfect.,,81428
2b,100,398,TRUE,1/14/21 10:06,R_10pav6QRxtMQsBv,3,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,sphere,bowl,torus,torus,octahedron,pentagon,trig prism,torus,cone,pipe,trig prism,pyramid,cone,torus,c),b),a),b),because it is right to set on the position.,because it is right to set on the position.,,39510
2b,100,195,TRUE,1/14/21 10:29,R_ukbP14gzsAmhNZf,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,sphere,bowl,torus,dumbbell,bowl,octahedron,sphere,torus,pentagon,pipe,sphere,pentagon,pipe,torus,c),b),a),a),I wanted to try something different,I want to see what it would be like,,74960
2b,8,19,FALSE,1/14/21 12:42,R_2Y9ROq42va7Rn5Q,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49382
2b,97,162,FALSE,1/14/21 12:44,R_25LoOsKhczTjk7R,1,Y,dumbbell,b),pyramid,octahedron,cone,trig prism,pipe,bowl,bowl,dumbbell,torus,torus,bowl,pentagon,trig prism,dumbbell,cone,pyramid,trig prism,pyramid,cone,trig prism,b),b),b),b),1,2,,68491
2b,95,165,FALSE,1/14/21 12:47,R_D15vzKJ58oIBWXD,3,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,octahedron,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),,"It looks like it might bounce a bit (or shatter, not sure!)",I want to see if it will fit in the hole/sit on top,,86042
2b,3,7,FALSE,1/14/21 12:52,R_2SId9BIcsG5BI1L,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39692
2b,97,308,FALSE,1/14/21 12:52,R_1l4WrFGFLKmUBZw,4,,pentagon,b),pyramid,octahedron,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,pentagon,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),because it would bounce off in a weird way,"that one, i couldn't say, i couldn't see any kind of effect dropping on either.",,51127
2b,3,389,FALSE,1/14/21 13:33,R_1Q58Ycmx3HVXGL9,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53588
2b,74,202,FALSE,1/14/21 13:57,R_2sSB917RHcmHCTO,2,Y,dumbbell,b),pipe,cone,cone,,,,bowl,bowl,torus,torus,bowl,,,torus,pentagon,pipe,,pyramid,pipe,torus,c),b),,,It would be interesting to see what would happen.,,,49927
2b,26,47,FALSE,1/14/21 14:25,R_1jlc4eNqMxLYVL9,,Y,pentagon,b),,,,,,,,,,,,,,,,,,,,,,,,,,,,16849
2b,100,161,TRUE,1/14/21 15:17,R_3pmXLEqoJTQ17Gt,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,octahedron,trig prism,dumbbell,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),It would make a pyramid shape almost like a house,It would fit in the bowl,,78069
2b,100,189,TRUE,1/14/21 15:18,R_3KrQsEWYqB6Pv9U,4,,dumbbell,b),pipe,octahedron,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,octahedron,sphere,dumbbell,cone,pyramid,sphere,pyramid,cone,torus,c),b),a),a),because it seems to have a more interesting outcome,want to it lands on the hole,,70632
2b,100,207,TRUE,1/14/21 15:18,R_3hbfEK9Ezx2Fvc0,4,,pentagon,b),pipe,octahedron,cone,pyramid,pipe,bowl,sphere,dumbbell,octahedron,dumbbell,octahedron,octahedron,trig prism,dumbbell,pentagon,pipe,sphere,pyramid,cone,trig prism,c),b),a),a),It seemed like it would be the most painful if pain was a possibility.,It is the sexier choice.,,14091
2b,100,222,TRUE,1/14/21 15:18,R_3fO6VGlTacrz5Jt,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,trig prism,pyramid,pipe,torus,c),b),a),a),Would make a unique challenge.,Seemed a good fit.,,50137
2b,100,241,TRUE,1/14/21 15:19,R_3Ho9pYtbznL9tc5,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),Like bottle flip,Wanna hit the hole,,95619
2b,100,350,TRUE,1/14/21 15:20,R_2dMVZNDjuGOUqNA,4,,pentagon,b),pipe,cone,cone,trig prism,pipe,bowl,bowl,bowl,torus,torus,bowl,octahedron,trig prism,torus,pentagon,pipe,trig prism,pyramid,pipe,torus,c),b),a),a),"seems to be the same object on the ground, it might make some interesting shape if one pyramid fall on the side of the other and stand there.",the toy might fit inside the hole of the other.,,70755
2b,100,357,TRUE,1/14/21 15:20,R_1I62v4uDon5QIbO,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),"I don't know, I went randomly and tried to fit it in some way","I don't know, I went randomly and tried to fit it in some way",,24387
2b,100,359,TRUE,1/14/21 15:21,R_pRW5Qo5snLhpetb,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,dumbbell,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),"The shapes were more different from each other, which would likely result in a more ""surprising"" or fun result.","Both toys had flat sides. So, when dropped, the top toy might land flush on the other toy. Which would be surprising and fun.",,53915
2b,100,423,TRUE,1/14/21 15:22,R_1CBzmqRQHQlHlpO,4,,dumbbell,b),pipe,cone,cone,pyramid,sphere,bowl,bowl,bowl,torus,torus,octahedron,octahedron,sphere,dumbbell,cone,pipe,sphere,pyramid,pipe,trig prism,c),b),a),a),more interaction between the pieces,"more interesting if the parts can ""mate"" to some extent",,2935
2b,100,447,TRUE,1/14/21 15:22,R_2PaESegKxKFjcfD,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,sphere,bowl,torus,torus,bowl,octahedron,trig prism,dumbbell,pentagon,pyramid,trig prism,pyramid,pipe,torus,c),b),a),a),"There are many sides on those shapes, so it could be more interesting seeing what direction the falling object would slide.","I seemed more fun, I could try to make it fall standing upright.",,46710
2b,100,219,TRUE,1/14/21 15:27,R_2e2t9FinEGgMcSa,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,pentagon,trig prism,dumbbell,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),cause it has a flat surface and can land and remain over the flat surface of the toy on the floor,cause it could land on the convexity of the toy on the floor and  remain there,,47140
2b,100,187,TRUE,1/14/21 15:29,R_3QWr661qUjzbYfJ,2,Y,dumbbell,b),pipe,cone,dumbbell,pyramid,sphere,bowl,sphere,bowl,torus,dumbbell,octahedron,octahedron,sphere,torus,pentagon,pipe,sphere,pentagon,cone,torus,c),b),b),b),It was heavier.,It was more likely to bounce.,,81705
2b,100,200,TRUE,1/14/21 15:34,R_27CFUGL2xNpNMFU,4,,dumbbell,b),pipe,octahedron,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,octahedron,trig prism,dumbbell,cone,pyramid,trig prism,pyramid,pipe,torus,c),b),a),a),I feel it would drop on the pyramid and go in a random direction,See if it would land in the bowl,,51417
2b,100,143,TRUE,1/14/21 15:36,R_2SrBYDRRcvNQD5Y,4,,dumbbell,b),pipe,cone,cone,trig prism,sphere,bowl,bowl,bowl,torus,dumbbell,octahedron,octahedron,sphere,dumbbell,pentagon,pipe,sphere,pentagon,pipe,trig prism,c),b),a),a),Because I didn't want 2 pyramids,It was because I was interested to see what would happen dropping that shape.,,1307
2b,100,200,TRUE,1/14/21 15:44,R_1DSWBlyWsoTGq0z,4,,dumbbell,b),pipe,octahedron,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,pentagon,sphere,dumbbell,pentagon,pyramid,sphere,pyramid,pipe,trig prism,c),b),a),a),It seems like it would have a more interesting reaction,Seems like it would be a better reaction,,9987
2b,100,541,TRUE,1/14/21 15:47,R_3KT3pEzKJr8ljzA,4,,pentagon,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,pentagon,trig prism,torus,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),I am hoping it would stand on top of the toy below,I was hoping it would drop and stand inside the bowl shaped toy,,52431
2b,100,258,TRUE,1/14/21 15:57,R_zUKNP739dAxPSwx,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,bowl,octahedron,sphere,dumbbell,cone,pyramid,trig prism,pyramid,pipe,torus,c),b),a),a),The other object was fairly flat. I thought it might bounce of this one in an interesting way.,I thought it might end up staying in the bowl.,,79293
2b,100,520,TRUE,1/14/21 16:02,R_1GIZLsif2IVX2Uc,3,,dumbbell,b),pyramid,octahedron,cone,pyramid,sphere,bowl,bowl,bowl,torus,torus,octahedron,octahedron,sphere,dumbbell,cone,pyramid,sphere,pyramid,cone,trig prism,a),b),a),a),it just stuck out to me more,I thought it may create a bigger reaction.,,83096
2b,100,197,TRUE,1/14/21 16:03,R_bkLgy6vqg0dPDLX,2,Y,pentagon,b),pipe,octahedron,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,octahedron,trig prism,dumbbell,pentagon,pipe,trig prism,pentagon,pipe,torus,c),b),c),c),Maybe it will land on it with the bottom so it will be like a tower,Maybe it will land inside,,51442
2b,100,212,TRUE,1/14/21 16:09,R_SBHDsFKHyVNZXTH,4,,dumbbell,b),pipe,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,dumbbell,bowl,octahedron,sphere,dumbbell,cone,pipe,trig prism,pentagon,pipe,torus,c),b),a),a),I thought it might bounce off in an interesting way.,I thought the toy might be fun to go inside the hole.,,94098
2b,100,181,TRUE,1/14/21 16:20,R_2qpyD4tjIQSIZFY,4,,dumbbell,b),pipe,cone,dumbbell,pyramid,sphere,bowl,sphere,bowl,torus,torus,bowl,pentagon,sphere,dumbbell,pentagon,pyramid,sphere,pentagon,pipe,torus,c),b),a),a),I didn't like how my object had a pointed top and the object I didn't choose to drop on also had a pointed top.,I just felt like it went well together as two object.,,19736
2b,100,173,TRUE,1/14/21 16:36,R_6zFXWOPHIK2tpcJ,0,Y,dumbbell,b),pipe,octahedron,cone,trig prism,pipe,bowl,sphere,dumbbell,torus,dumbbell,octahedron,octahedron,sphere,dumbbell,cone,pipe,sphere,pyramid,cone,trig prism,b),c),b),b),It felt right impulse,It was more contrasting,,17920
2b,100,161,TRUE,1/14/21 17:05,R_3QKTvC3pe8Xo9SU,4,,dumbbell,b),pyramid,octahedron,cone,trig prism,sphere,pentagon,bowl,dumbbell,octahedron,dumbbell,octahedron,octahedron,sphere,torus,cone,pyramid,sphere,pyramid,cone,trig prism,c),b),a),a),More angled faces for chaos.,Unable to rest comfortably on the barbell.,,26968
2b,100,1001,TRUE,1/14/21 17:17,R_3Hq0GbCNqD1OQ1C,0,Y,dumbbell,b),pyramid,octahedron,dumbbell,trig prism,pipe,bowl,sphere,bowl,octahedron,dumbbell,bowl,pentagon,trig prism,torus,pentagon,pyramid,trig prism,pyramid,pipe,trig prism,a),c),b),b),it is highly impresion,it is highly impresion,,26414
2b,47,500,FALSE,1/14/21 19:01,R_1zA93KlKG1wRfah,0,Y,dumbbell,b),,cone,cone,,,,,,,torus,,,,dumbbell,,,,pentagon,,,b),,,,because it can land flat and potentialy remain over the flat surface of the toy on the floor,,,92871
2b,47,478,FALSE,1/14/21 19:01,R_1DHWpRT92vRBXyh,1,Y,dumbbell,b),,octahedron,cone,,,,,,,torus,,,,torus,,,,pentagon,,,c),,,,I found it the most interesting thing to choose.,,,72532
2b,8,8,FALSE,1/14/21 19:01,R_1DzZcUCCFd94o3u,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63833
2b,97,256,FALSE,1/14/21 19:02,R_2Ynvzq5NzYayUv9,3,,dumbbell,b),pyramid,cone,cone,pyramid,pipe,bowl,bowl,bowl,torus,torus,octahedron,octahedron,sphere,dumbbell,cone,pyramid,sphere,pyramid,pipe,torus,c),b),a),b),it would ricochet off likely and be interesting,it seemed more interesting than the other choice,,94579
2b,18,38,FALSE,1/14/21 19:02,R_2vjkYwk4ysRYfq5,,Y,dumbbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99280
